epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,2681.12,0.56667,0.39668,1.19899,0.17012,0.18554,0.21022,0.12327,1.518,8.46164,2.33911,0.000279063,0.000279063,0.000279063
72,2713.63,0.56505,0.38758,1.19642,0.17893,0.19094,0.20819,0.11955,1.47611,8.56195,2.34747,0.000270064,0.000270064,0.000270064
73,2746.44,0.55219,0.38638,1.18617,0.1901,0.22006,0.2135,0.1225,1.39796,8.44288,2.30834,0.000261065,0.000261065,0.000261065
74,2778.96,0.55922,0.38212,1.19668,0.15323,0.18173,0.20025,0.11496,1.47904,8.37459,2.24395,0.000252066,0.000252066,0.000252066
75,2811.19,0.55272,0.38234,1.19084,0.25987,0.12621,0.18781,0.09229,1.46691,8.39236,2.31189,0.000243067,0.000243067,0.000243067
76,2843.36,0.55213,0.38016,1.18908,0.21087,0.14563,0.20124,0.10307,1.48689,8.6711,2.2962,0.000234068,0.000234068,0.000234068
77,2875.84,0.55995,0.37432,1.19529,0.15886,0.17975,0.19731,0.10618,1.60473,8.79234,2.34097,0.000225068,0.000225068,0.000225068
78,2908,0.54983,0.37245,1.18227,0.2012,0.20697,0.23696,0.12904,1.51656,8.76941,2.23323,0.000216069,0.000216069,0.000216069
79,2940.19,0.54856,0.3693,1.18323,0.26472,0.12298,0.1887,0.09877,1.53644,8.82922,2.23447,0.00020707,0.00020707,0.00020707
80,2972.67,0.55492,0.37725,1.19288,0.23234,0.20388,0.25535,0.13963,1.7134,9.09161,2.47066,0.000198071,0.000198071,0.000198071
81,3005.51,0.55428,0.36964,1.19085,0.23536,0.22654,0.26508,0.14176,1.66522,8.99719,2.36896,0.000189072,0.000189072,0.000189072
82,3038.47,0.55224,0.36849,1.18752,0.20875,0.21359,0.24028,0.13057,1.38588,8.20842,2.14444,0.000180073,0.000180073,0.000180073
83,3071.5,0.54946,0.37111,1.184,0.22842,0.23251,0.25738,0.13916,1.39101,8.19052,2.13733,0.000171074,0.000171074,0.000171074
84,3107.11,0.54402,0.37134,1.18319,0.23817,0.21869,0.26135,0.15101,1.52448,8.29056,2.29052,0.000162075,0.000162075,0.000162075
85,3141.99,0.54755,0.36709,1.18245,0.26827,0.28803,0.30586,0.18127,1.61258,8.04112,2.34644,0.000153076,0.000153076,0.000153076
86,3176.54,0.54509,0.36585,1.18808,0.26953,0.24919,0.29272,0.16958,1.54462,8.1012,2.26017,0.000144077,0.000144077,0.000144077
